Filename,Meansize(mm)
Run354_Image08318_Crib0609.png,39.49
Run354_Image08318_Crib0610.png,40.14
Run354_Image08319_Crib0611.png,37.37
Run354_Image08319_Crib0612.png,38.94
Run354_Image08320_Crib0613.png,40.29
Run354_Image08320_Crib0614.png,39.17
Run354_Image08321_Crib0615.png,38.09
Run354_Image08321_Crib0616.png,38.06
Run354_Image08322_Crib0617.png,38.16
Run354_Image08322_Crib0618.png,39.31
Run354_Image08323_Crib0619.png,38.79
Run354_Image08323_Crib0620.png,37.30
Run354_Image08324_Crib0621.png,38.33
Run354_Image08324_Crib0622.png,37.83
Run354_Image08325_Crib0623.png,37.33
Run354_Image08325_Crib0624.png,37.95
Run354_Image08326_Crib0625.png,38.40
Run354_Image08326_Crib0626.png,40.01
Run354_Image08327_Crib0627.png,39.17
Run354_Image08327_Crib0628.png,38.88
Run354_Image08328_Crib0629.png,38.37
Run354_Image08328_Crib0630.png,38.52
Run354_Image08329_Crib0631.png,37.83
Run354_Image08329_Crib0632.png,38.69
Run354_Image08330_Crib0633.png,38.58
Run354_Image08330_Crib0634.png,38.42
Run354_Image08331_Crib0635.png,38.96
Run354_Image08331_Crib0636.png,39.73
Run354_Image08332_Crib0637.png,38.15
Run354_Image08332_Crib0638.png,37.48
Run354_Image08333_Crib0639.png,38.78
Run354_Image08333_Crib0640.png,39.36
Run354_Image08334_Crib0641.png,39.88
Run354_Image08334_Crib0642.png,37.06
Run354_Image08335_Crib0643.png,38.06
Run354_Image08335_Crib0644.png,38.14
Run354_Image08336_Crib0645.png,37.62
Run354_Image08336_Crib0646.png,37.38
Run354_Image08337_Crib0647.png,37.63
Run354_Image08337_Crib0648.png,38.31
Run354_Image08338_Crib0649.png,37.57
Run354_Image08338_Crib0650.png,37.82
Run354_Image08339_Crib0651.png,39.63
Run354_Image08339_Crib0652.png,39.08
Run354_Image08340_Crib0653.png,38.40
Run354_Image08340_Crib0654.png,37.19
Run354_Image08341_Crib0655.png,37.34
Run354_Image08341_Crib0656.png,37.89
Run354_Image08342_Crib0657.png,37.35
Run354_Image08342_Crib0658.png,38.50
Run354_Image08343_Crib0659.png,38.76
